GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
252,51:49.1,"1,874.00",-2.436949,51.377334,69.3,166.2,0.5,0.386
253,51:50.1,"1,875.00",-2.436944,51.377314,69.3,166.2,8.2,0.388
254,52:00.1,"1,885.00",-2.436949,51.377335,69.3,167.2,0.9,0.39
255,52:01.1,"1,886.00",-2.436959,51.377327,69.3,167.2,4,0.391
256,52:14.1,"1,899.00",-2.436951,51.377336,69.3,166.2,0.3,0.392
257,52:23.1,"1,908.00",-2.43695,51.377339,69.3,167.2,0.1,0.393
258,52:30.1,"1,915.00",-2.436949,51.377335,69.3,172.1,0.2,0.393
259,52:36.1,"1,921.00",-2.436951,51.377341,69.3,172.9,0.4,0.394
260,52:43.1,"1,928.00",-2.436951,51.377335,69.3,171.8,0.4,0.395
261,52:55.1,"1,940.00",-2.436952,51.37734,69.3,167.6,0.2,0.395
262,52:56.1,"1,941.00",-2.436958,51.377336,69.3,167.6,2.1,0.396
263,53:04.1,"1,949.00",-2.43693,51.377338,69.3,167.6,0.9,0.398
264,53:10.1,"1,955.00",-2.436911,51.37734,69.3,166.3,0.8,0.399
265,53:11.1,"1,956.00",-2.436941,51.377305,69.3,166.3,16,0.403
266,53:24.1,"1,969.00",-2.436904,51.37733,69.3,168.9,1.1,0.407
267,53:25.1,"1,970.00",-2.436947,51.377333,69.3,168.9,10.9,0.41
268,53:31.1,"1,976.00",-2.436897,51.377344,69.3,168.5,2.2,0.414
269,53:32.1,"1,977.00",-2.436939,51.377307,69.3,168.5,17.9,0.419
270,53:39.1,"1,984.00",-2.43691,51.377327,69.3,176.5,1.5,0.422
271,53:45.1,"1,990.00",-2.436895,51.377338,69.3,180.5,1,0.423
272,53:46.1,"1,991.00",-2.436947,51.377334,69.3,180.5,13.1,0.427
273,53:54.1,"1,999.00",-2.436949,51.377337,69.3,177.3,0.2,0.428
274,54:00.1,"2,005.00",-2.43695,51.377338,69.3,177.3,0.1,0.428
275,54:01.1,"2,006.00",-2.436957,51.377334,69.3,177.3,2.3,0.428
276,54:13.1,"2,018.00",-2.436952,51.377337,69.3,179.3,0.1,0.429
277,54:28.1,"2,033.00",-2.436959,51.377333,69.3,179.3,0.1,0.429
278,54:43.1,"2,048.00",-2.436952,51.377337,69.3,188,0.2,0.43
279,54:44.1,"2,049.00",-2.43696,51.37733,69.3,188,3.6,0.431
280,54:50.1,"2,055.00",-2.436953,51.377335,69.3,188,0.5,0.432
281,54:59.1,"2,064.00",-2.436947,51.377324,69.3,191.2,0.5,0.433
282,55:00.1,"2,065.00",-2.436941,51.377304,69.3,191.2,8.3,0.435
283,55:08.1,"2,073.00",-2.436948,51.377332,69.3,196.6,1.4,0.438
284,55:14.1,"2,079.00",-2.43695,51.377337,69.3,196.6,0.3,0.439
285,55:15.1,"2,080.00",-2.43695,51.377307,69.3,196.6,12,0.442
286,55:21.1,"2,086.00",-2.43695,51.377327,69.3,194.4,1.3,0.445
287,55:27.1,"2,092.00",-2.43695,51.37733,69.3,194.4,0.2,0.445
288,55:35.1,"2,100.00",-2.436952,51.377326,69.3,194.4,0.2,0.445
289,55:36.1,"2,101.00",-2.436951,51.377307,69.3,194.4,7.5,0.448
290,55:49.1,"2,114.00",-2.43695,51.377333,69.3,197.6,0.8,0.45
291,55:50.1,"2,115.00",-2.436941,51.37731,69.3,197.6,9.6,0.453
292,55:56.1,"2,121.00",-2.436949,51.377337,69.3,197.4,1.9,0.456
293,56:08.1,"2,133.00",-2.43695,51.377334,69.3,197.4,0.1,0.457
294,56:23.1,"2,148.00",-2.436952,51.377333,69.3,197.4,0,0.457
295,56:24.1,"2,149.00",-2.436937,51.377285,69.3,197.4,19.7,0.462
296,56:33.1,"2,158.00",-2.436948,51.377329,69.3,197.4,2,0.467
297,56:34.1,"2,159.00",-2.436945,51.377306,69.3,197.4,9.3,0.47
298,56:49.1,"2,174.00",-2.436949,51.377333,69.3,197.4,0.7,0.473
299,57:04.1,"2,189.00",-2.436946,51.377322,69.3,201.5,0.3,0.474
300,57:05.1,"2,190.00",-2.436949,51.377316,69.3,206.3,2.4,0.475
301,57:11.1,"2,196.00",-2.43695,51.377336,69.3,215.2,1.4,0.477
302,57:13.1,"2,198.00",-2.436956,51.377327,69.3,216.2,2,0.478
303,57:20.1,"2,205.00",-2.436926,51.377335,69.3,211.7,1.2,0.48
304,57:35.1,"2,220.00",-2.436932,51.377331,69.3,209.5,0.2,0.481
305,57:36.1,"2,221.00",-2.436943,51.377309,69.3,213.9,9.2,0.484
306,57:42.1,"2,227.00",-2.436919,51.377323,69.3,212.1,1.4,0.486
307,57:44.1,"2,229.00",-2.436941,51.377334,69.3,212.1,3.7,0.488
308,57:50.1,"2,235.00",-2.436946,51.377337,69.3,212.1,0.3,0.488
309,57:59.1,"2,244.00",-2.43695,51.377334,69.3,185.2,0.1,0.489
310,58:00.1,"2,245.00",-2.436958,51.377322,69.3,186.3,5.4,0.49
311,58:06.1,"2,251.00",-2.436951,51.377338,69.3,186.6,1.1,0.492
312,58:14.1,"2,259.00",-2.43695,51.377337,69.3,185.6,0,0.492
313,58:20.1,"2,265.00",-2.43695,51.377339,69.3,185.6,0.1,0.492
314,58:28.1,"2,273.00",-2.436952,51.377335,69.3,183.6,0.2,0.493
315,58:29.1,"2,274.00",-2.436955,51.377332,69.3,183.6,1.5,0.493
316,58:36.1,"2,281.00",-2.436951,51.377337,69.3,180.9,0.3,0.494
317,58:51.1,"2,296.00",-2.436949,51.377289,69.3,181.9,1.3,0.499
318,59:04.1,"2,309.00",-2.43695,51.37733,69.3,184,1.3,0.504
319,59:05.1,"2,310.00",-2.436948,51.377312,69.3,184,7,0.506
320,59:13.1,"2,318.00",-2.43695,51.377334,69.3,184,1.1,0.508
321,59:28.1,"2,333.00",-2.43695,51.377331,69.3,184,0.1,0.509
322,59:29.1,"2,334.00",-2.436954,51.377336,69.3,184,2.2,0.509
323,59:44.1,"2,349.00",-2.436955,51.377337,69.3,184,0,0.509
324,59:54.1,"2,359.00",-2.436951,51.377338,69.3,181.8,0.1,0.51
325,59:55.1,"2,360.00",-2.436949,51.37732,69.3,180.8,7.3,0.512
326,00:01.1,"2,366.00",-2.436949,51.377333,69.3,181.8,0.8,0.513
327,00:16.1,"2,381.00",-2.436944,51.377327,69.3,190.3,0.2,0.514
328,00:17.1,"2,382.00",-2.436945,51.377319,69.3,190.3,3.4,0.515
329,00:23.1,"2,388.00",-2.436949,51.377332,69.3,191.3,0.9,0.516
330,00:29.1,"2,394.00",-2.43695,51.377333,69.3,191.3,0.1,0.516
